archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,PID_INTEGRIN4_PATHWAY,3.3983e-08,1.4441,1.4675,1,1
1,REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS,1.9152e-07,1.398,1.3361,1,1
1,KEGG_ALLOGRAFT_REJECTION,7.5008e-06,1.3885,1.2101,1,1
1,REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,8.6007e-07,1.3234,1.2411,1,1
1,REACTOME_SMOOTH_MUSCLE_CONTRACTION,3.0785e-08,1.2348,1.3635,1,1
1,PID_INTEGRIN5_PATHWAY,4.9788e-06,1.2163,1.049,1,1
1,CYTOPLASM_ORGANIZATION_AND_BIOGENESIS,7.4147e-08,1.1721,1.1098,1,1
1,KEGG_AUTOIMMUNE_THYROID_DISEASE,1.3683e-05,1.1436,0.99473,1,1
1,KEGG_GRAFT_VERSUS_HOST_DISEASE,1.0357e-05,1.1024,1.0485,1,1
1,EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,6.1115e-08,1.0914,1.1973,1,1
1,SA_MMP_CYTOKINE_CONNECTION,2.6563e-06,1.0665,0.99043,1,1
1,BIOCARTA_IL4_PATHWAY,9.4256e-08,1.0655,1.0703,1,1
1,BIOCARTA_TOB1_PATHWAY,1.2641e-05,1.0434,0.81206,1,1
1,INTERCELLULAR_JUNCTION_ASSEMBLY_AND_MAINTENANCE,4.3882e-07,1.0416,1.0669,1,1
1,REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,1.0357e-05,1.0416,1.107,1,1
1,PID_INTEGRIN3_PATHWAY,3.8281e-07,1.0362,1.0062,1,1
1,POSITIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS,2.9297e-08,1.027,1.055,1,1
1,POSITIVE_REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION,1.0724e-06,0.99088,0.86279,1,1
1,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,8.5648e-08,0.98488,0.88167,1,1
1,PID_INTEGRIN1_PATHWAY,6.4147e-08,0.97672,1.0826,1,1
1,REACTOME_METABOLISM_OF_PORPHYRINS,1.6642e-07,0.96978,0.90235,1,1
1,KEGG_ECM_RECEPTOR_INTERACTION,4.5633e-08,0.92959,0.989,1,1
1,REACTOME_HYALURONAN_METABOLISM,5.027e-07,0.921,0.81226,1,1
1,POSITIVE_REGULATION_OF_PHOSPHORYLATION,5.0314e-08,0.91245,0.92923,1,1
1,BIOCARTA_AMI_PATHWAY,7.5008e-06,0.90937,0.74147,1,1
1,REACTOME_IL_6_SIGNALING,6.5149e-05,0.90805,0.76239,1,1
1,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,1.4235e-05,0.88331,0.92047,1,1
1,REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,5.2592e-07,0.86987,0.76677,1,1
1,KEGG_OTHER_GLYCAN_DEGRADATION,9.8204e-07,0.86871,0.77091,1,1
1,REACTOME_ER_PHAGOSOME_PATHWAY,2.7766e-07,0.85607,0.74782,1,1
1,PID_UPA_UPAR_PATHWAY,2.6528e-08,0.85468,1.1023,1,1
1,BIOCARTA_FIBRINOLYSIS_PATHWAY,1.7315e-06,0.85424,0.94364,1,1
1,BIOCARTA_TH1TH2_PATHWAY,1.2149e-05,0.83593,0.7093,1,1
1,BIOCARTA_PML_PATHWAY,3.0158e-06,0.82002,0.73609,1,1
1,REACTOME_MUSCLE_CONTRACTION,7.7803e-08,0.81972,0.85367,1,1
1,POSITIVE_REGULATION_OF_CELL_CYCLE,2.974e-05,0.8113,0.61258,1,1
1,REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION,6.2956e-07,0.80738,0.79233,1,1
1,PID_A6B1_A6B4_INTEGRIN_PATHWAY,2.5315e-07,0.80596,0.7311,1,1
